MATRIX_SIZE,CHUNK,SERIAL_BASELINE,P2T,P4T,P8T
480,48,1.000000,2.044176,3.354699,4.993858
480,96,1.000000,1.734826,2.600354,4.966559
480,192,1.000000,1.708294,2.052312,2.611483
640,48,1.000000,1.939582,3.338778,6.574525
640,96,1.000000,1.889455,3.374539,6.646790
640,192,1.000000,1.729668,3.258432,3.312017
960,48,1.000000,2.064744,4.008885,6.601246
960,96,1.000000,2.003449,3.383275,4.885429
960,192,1.000000,1.716546,2.488812,4.965652
1280,48,1.000000,1.990596,3.774538,6.651058
1280,96,1.000000,1.922205,3.310352,6.564121
1280,192,1.000000,1.863302,3.321838,6.564333
1920,48,1.000000,2.002905,3.898569,7.351422
1920,96,1.000000,2.045719,3.995447,6.591557
1920,192,1.000000,2.047192,3.340738,4.894491
